Areas,Thickness,Width
,1.1,0.9
,1.1,1.0
,1.1,1.2
1.4,1.1,1.4
1.62,1.1,1.6
1.84,1.1,1.8
2.06,1.1,2.0
2.21,1.1,2.2
2.54,1.1,2.5
2.87,1.1,2.8
3.09,1.1,3.0
3.31,1.1,3.2
3.64,1.1,3.5
3.97,1.1,3.8
4.19,1.1,4.0
4.74,1.1,4.5
5.29,1.1,5.0
5.84,1.1,5.5
6.39,1.1,6.0
6.94,1.1,6.5
7.49,1.1,7.0
8.04,1.1,7.5
8.59,1.1,8.0
9.69,1.1,9.0
10.8,1.1,10.0
11.9,1.1,11.0
13.0,1.1,12.0
14.1,1.1,13.0
15.2,1.1,14.0
16.3,1.1,15.0
17.4,1.1,16.0
19.6,1.1,19.0
21.8,1.1,20.0
24.0,1.1,22.0
,1.1,25.0
,1.2,0.9
,1.2,1.0
1.3,1.2,1.2
,1.2,1.4
1.78,1.2,1.6
2.02,1.2,1.8
2.19,1.2,2.0
2.43,1.2,2.2
2.79,1.2,2.5
3.15,1.2,2.8
3.39,1.2,3.0
3.63,1.2,3.2
3.99,1.2,3.5
4.35,1.2,3.8
4.59,1.2,4.0
5.19,1.2,4.5
5.79,1.2,5.0
6.39,1.2,5.5
6.99,1.2,6.0
7.59,1.2,6.5
8.1,1.2,7.0
8.7,1.2,7.5
9.39,1.2,8.0
10.6,1.2,9.0
11.8,1.2,10.0
13.0,1.2,11.0
14.2,1.2,12.0
15.4,1.2,13.0
16.6,1.2,14.0
17.8,1.2,15.0
19.0,1.2,16.0
21.4,1.2,19.0
23.8,1.2,20.0
26.0,1.2,22.0
,1.2,25.0
,1.3,0.9
,1.3,1.0
,1.3,1.2
,1.3,1.4
1.87,1.3,1.6
2.13,1.3,1.8
2.39,1.3,2.0
2.65,1.3,2.2
3.04,1.3,2.5
3.43,1.3,2.8
3.69,1.3,3.0
3.95,1.3,3.2
4.34,1.3,3.5
4.73,1.3,3.8
4.99,1.3,4.0
5.64,1.3,4.5
6.29,1.3,5.0
6.94,1.3,5.5
7.59,1.3,6.0
8.24,1.3,6.5
8.89,1.3,7.0
9.54,1.3,7.5
10.2,1.3,8.0
11.5,1.3,9.0
12.8,1.3,10.0
14.1,1.3,11.0
15.4,1.3,12.0
16.2,1.3,13.0
18.0,1.3,14.0
19.3,1.3,15.0
20.6,1.3,16.0
23.2,1.3,19.0
25.8,1.3,20.0
28.4,1.3,22.0
32.3,1.3,25.0
,1.4,0.9
,1.4,1.0
,1.4,1.2
1.75,1.4,1.4
,1.4,1.6
2.31,1.4,1.8
2.59,1.4,2.0
2.87,1.4,2.2
3.29,1.4,2.5
3.71,1.4,2.8
